Address,Location,Type,,Tags
10.232.0.192/26,dg-core-prd,IP Netmask,,PCI
10.232.0.196,dg-core-prd,IP Netmask,,PCI
10.224.42.192/26,dg-core-prd,IP Netmask,,
10.224.1.32,dg-core-prd,IP Netmask,,
10.224.4.0/24,dg-core-prd,IP Netmask,,PCI
10.224.4.10,dg-core-prd,IP Netmask,,PCI
10.224.4.10-10.224.4.13,dg-core-prd,IP Range,,PCI
10.224.4.11,dg-core-prd,IP Netmask,,PCI
10.224.4.12,dg-core-prd,IP Netmask,,PCI
10.224.4.14,dg-core-prd,IP Netmask,,PCI
10.224.4.15,dg-core-prd,IP Netmask,,PCI
10.224.4.16,dg-core-prd,IP Netmask,,PCI
10.224.4.17,dg-core-prd,IP Netmask,,PCI
10.224.4.18,dg-core-prd,IP Netmask,,PCI
10.224.4.4,dg-core-prd,IP Netmask,,PCI
10.224.4.4-10.224.4.9,dg-core-prd,IP Range,,PCI
10.224.4.5,dg-core-prd,IP Netmask,,PCI
10.224.4.6,dg-core-prd,IP Netmask,,PCI
10.224.4.7,dg-core-prd,IP Netmask,,PCI
10.224.4.8,dg-core-prd,IP Netmask,,PCI
10.224.4.9,dg-core-prd,IP Netmask,,PCI
10.224.35.0/24,dg-core-prd,IP Netmask,,PCI
10.224.35.10/32,dg-core-prd,IP Netmask,,PCI
10.224.35.4,dg-core-prd,IP Netmask,,PCI
10.224.35.5,dg-core-prd,IP Netmask,,PCI
10.224.35.6,dg-core-prd,IP Netmask,,PCI
10.224.35.7,dg-core-prd,IP Netmask,,PCI
10.224.35.8/32,dg-core-prd,IP Netmask,,PCI
azaseuseprd.avianca.loc,dg-core-prd,FQDN,,
10.224.64.134,dg-core-prd,IP Netmask,,
10.224.0.198,dg-core-prd,IP Netmask,,
10.224.39.0/27,dg-core-prd,IP Netmask,,
10.224.1.45/32,dg-core-prd,IP Netmask,,
10.224.1.43/32,dg-core-prd,IP Netmask,,
10.224.1.46/32,dg-core-prd,IP Netmask,,
10.224.1.44/32,dg-core-prd,IP Netmask,,
192.168.120.36,dg-core-prd,IP Netmask,,
192.168.120.37,dg-core-prd,IP Netmask,,
192.168.120.38,dg-core-prd,IP Netmask,,
192.168.120.39,dg-core-prd,IP Netmask,,
192.168.120.68,dg-core-prd,IP Netmask,,
192.168.120.69,dg-core-prd,IP Netmask,,
192.168.120.70,dg-core-prd,IP Netmask,,
192.168.120.71,dg-core-prd,IP Netmask,,
192.168.121.10,dg-core-prd,IP Netmask,,
192.168.121.11,dg-core-prd,IP Netmask,,
192.168.121.12,dg-core-prd,IP Netmask,,
192.168.121.16,dg-core-prd,IP Netmask,,
192.168.121.6,dg-core-prd,IP Netmask,,
192.168.121.7,dg-core-prd,IP Netmask,,
192.168.121.8,dg-core-prd,IP Netmask,,
